OP: 2  
node: 5  
Multiplex: 2  
vehicle: 5  
version dump: 10 
Status: 7  
Step: 11 
Version: 2.07.00 ÿÿÿÿÿÿ
//----------
Diag: 0x742, 0x02, 0x10, 0xB0, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF
Diag: 0x742, 0x25, 0x04, 0x03, 0x04, 0x04, 0x04, 0x0B, 0x04

Diag: 0x742, 0x26, 0x0C, 0x04, 0x0D, 0x04, 0x0E, 0x04, 0x0F

Diag: 0x742, 0x27, 0x04, 0x10, 0x01, 0x01, 0x03, 0x03, 0x03

Diag: 0x742, 0x28, 0x03, 0x03, 0x03, 0x03, 0x00, 0x01, 0x04

Diag: 0x742, 0x29, 0x06, 0x03, 0x05, 0x07, 0x02, 0x08, 0x0A

Diag: 0x742, 0x2A, 0x0A, 0x0A, 0x0A, 0x0A, 0x78, 0x78, 0x78

Diag: 0x742, 0x2B, 0x78, 0x64, 0x00, 0x00, 0x02, 0xC2, 0x00

Diag: 0x742, 0x2C, 0x64, 0x02, 0x00, 0x02, 0x02, 0x00, 0x00

Diag: 0x742, 0x2D, 0x05, 0x42, 0x03, 0xE8, 0x02, 0x00, 0x00

Diag: 0x742, 0x2E, 0x02, 0x00, 0x00, 0x05, 0x02, 0x00, 0x00

Diag: 0x742, 0x2F, 0x01, 0x00, 0x00, 0x02, 0x00, 0x00, 0x00

Diag: 0x742, 0x20, 0xC2, 0x00, 0x00, 0x01, 0x00, 0x00, 0x02

Diag: 0x742, 0x21, 0x00, 0x00, 0x03, 0x64, 0x00, 0xC8, 0x04

Diag: 0x742, 0x22, 0x00, 0x00, 0x02, 0x00, 0x00, 0x06, 0xC2

Diag: 0x742, 0x23, 0x03, 0xE8, 0x07, 0x00, 0x00, 0x02, 0x00

Diag: 0x742, 0x24, 0x00, 0x07, 0x02, 0x00, 0x00, 0x08, 0x00

Diag: 0x742, 0x25, 0x00, 0x02, 0x00, 0x00, 0x07, 0x82, 0x00

Diag: 0x742, 0x26, 0x00, 0x08, 0x00, 0x00, 0x02, 0x00, 0x00

Diag: 0x742, 0x27, 0x01, 0x81, 0x00, 0x6E, 0x04, 0x00, 0x02

Diag: 0x742, 0x28, 0x04, 0x00, 0x00, 0x04, 0x41, 0x15, 0x7C

Diag: 0x742, 0x29, 0x02, 0x00, 0x00, 0x04, 0x00, 0x00, 0x02

Diag: 0x742, 0x2A, 0x41, 0x00, 0x6E, 0x08, 0x00, 0x00, 0x04

Diag: 0x742, 0x2B, 0x00, 0x00, 0x03, 0x41, 0x04, 0x4C, 0x04

Diag: 0x742, 0x2C, 0x00, 0x00, 0x04, 0x00, 0x00, 0x00, 0x81

Diag: 0x742, 0x2D, 0x00, 0x00, 0x01, 0x00, 0x00, 0x04, 0x00

Diag: 0x742, 0x2E, 0x00, 0x04, 0x03, 0x00, 0x6E, 0x03, 0x00

Diag: 0x742, 0x2F, 0x00, 0x04, 0x00, 0x00, 0x04, 0x43, 0x00

Diag: 0x742, 0x20, 0x6E, 0x08, 0x47, 0xE0, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x01, 0x76, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x10, 0xE3, 0x36, 0x00, 0x00, 0x04, 0x00, 0x00

Node: 0x702, 0x30, 0x00, 0x05, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x21, 0x04, 0x83, 0x00, 0x6E, 0x08, 0x00, 0x00

Diag: 0x742, 0x22, 0x04, 0x00, 0x00, 0x04, 0xC3, 0x00, 0x6E

Diag: 0x742, 0x23, 0x08, 0x00, 0x00, 0x04, 0x00, 0x00, 0x04

Diag: 0x742, 0x24, 0x05, 0x00, 0x6E, 0x08, 0x00, 0x00, 0x04

Diag: 0x742, 0x25, 0x00, 0x00, 0x04, 0x45, 0x00, 0x6E, 0x08

Diag: 0x742, 0x26, 0x00, 0x00, 0x04, 0x00, 0x00, 0x04, 0x11

Diag: 0x742, 0x27, 0x00, 0x6E, 0x03, 0x00, 0x00, 0x04, 0x00

Diag: 0x742, 0x28, 0x00, 0x04, 0x09, 0x00, 0x6E, 0x08, 0x00

Diag: 0x742, 0x29, 0x00, 0x04, 0x00, 0x00, 0x05, 0x01, 0x00

Diag: 0x742, 0x2A, 0x00, 0x01, 0x00, 0x00, 0x04, 0x00, 0x00

Diag: 0x742, 0x2B, 0x05, 0x41, 0x15, 0x7C, 0x03, 0x00, 0x00

Diag: 0x742, 0x2C, 0x04, 0x00, 0x00, 0x06, 0x01, 0x04, 0x4C

